test,Z1,Z2,stars,n_words,useful,useful_discrete,n_fans,n_reviews
0,1,1,5,47,0,0,0,35
0,1,1,5,22,0,0,1,7
1,0,0,4,41,1,1,2,37
1,0,0,4,262,1,1,9,116
1,0,0,4,97,0,0,0,29
0,1,1,2,92,0,0,0,10
1,1,1,2,211,0,0,2,20
1,1,0,4,225,1,1,6,164
1,0,0,5,144,2,1,5,56
0,1,1,5,130,1,1,7,115
1,0,0,2,73,0,0,5,27
1,0,0,3,168,0,0,0,12
0,1,1,1,111,2,1,0,46
1,1,1,1,120,1,1,8,43
1,0,0,1,55,0,0,0,3
1,0,0,1,63,1,1,0,7
0,1,1,5,23,0,0,0,11
1,0,0,3,35,0,0,0,16
1,0,0,4,251,0,0,73,846
0,1,1,4,82,0,0,4,60
0,1,1,4,48,0,0,9,231
1,0,0,4,174,0,0,0,45
1,0,0,1,139,1,1,0,4
0,1,1,2,160,0,0,1,6
0,1,1,5,44,0,0,4,305
1,1,0,4,307,2,1,33,400
0,1,1,3,157,0,0,0,27
1,1,0,2,480,2,1,18,269
1,0,0,5,14,0,0,0,3
1,1,1,5,68,0,0,0,2
1,1,0,4,363,3,1,49,678
0,1,1,1,40,0,0,0,67
0,1,0,4,480,6,2,60,218
1,1,0,1,418,2,1,4,18
1,0,0,3,171,1,1,0,38
1,0,0,4,205,1,1,0,5
1,1,0,4,318,3,1,12,288
1,1,1,2,202,0,0,0,24
1,0,0,5,197,0,0,27,151
1,0,0,4,196,0,0,24,436
0,1,1,2,77,0,0,0,14
1,0,0,4,49,0,0,0,14
1,0,0,5,117,1,1,1,66
1,0,0,3,73,0,0,0,5
0,1,1,2,118,0,0,0,11
1,1,1,3,113,2,1,90,432
0,0,0,5,143,0,0,1,30
1,0,0,2,43,0,0,1,38
0,1,1,2,98,0,0,0,27
1,1,0,5,659,1,1,6,162
1,0,0,5,23,0,0,4,29
0,1,1,5,47,0,0,0,18
1,1,1,4,28,1,1,1,159
1,1,0,4,326,5,1,26,264
1,0,0,5,73,1,1,4,51
0,1,1,4,129,0,0,2,44
1,1,0,1,894,2,1,0,1
1,0,0,2,89,0,0,1,34
1,1,1,5,139,1,1,25,278
0,1,1,4,42,0,0,0,69
1,0,0,2,83,0,0,0,16
1,0,0,5,98,1,1,3,43
0,1,1,5,59,0,0,0,127
0,1,1,5,44,0,0,3,65
1,0,0,4,78,0,0,8,271
1,0,0,3,49,1,1,0,2
1,0,0,4,163,2,1,44,453
1,0,0,2,70,0,0,0,68
0,1,1,4,87,0,0,24,603
1,1,0,5,271,3,1,158,1061
1,0,0,5,18,0,0,0,18
1,0,0,5,39,0,0,2,49
1,1,1,3,80,4,1,32,592
1,0,0,3,37,1,1,0,16
1,1,0,4,634,5,1,19,675
0,1,0,5,235,4,1,14,191
1,0,0,5,46,0,0,1,77
1,0,0,4,22,0,0,1,54
1,0,0,3,189,0,0,0,6
1,1,1,2,123,0,0,1,14
1,1,0,3,350,0,0,0,5
1,0,0,5,129,1,1,2,77
1,1,0,2,308,9,2,15,123
1,0,0,2,81,0,0,4,67
1,0,0,4,31,1,1,11,214
1,0,0,5,76,0,0,3,193
1,0,0,4,31,0,0,0,25
1,0,0,5,106,1,1,0,16
1,0,0,5,56,1,1,10,29
1,0,0,2,142,0,0,0,50
1,0,0,5,65,0,0,0,12
0,1,0,3,430,4,1,41,624
0,1,1,3,167,0,0,0,5
1,0,0,2,51,3,1,9,131
1,0,0,5,74,0,0,4,152
1,0,0,4,77,1,1,52,936
1,0,0,3,183,0,0,0,22
0,0,0,3,279,0,0,2,56
1,0,0,4,116,3,1,75,354
1,0,0,5,32,0,0,1,25
1,0,0,1,66,1,1,0,21
1,1,0,4,243,0,0,10,135
1,1,0,4,310,18,3,151,994
1,1,1,5,256,2,1,3,21
0,0,0,5,94,1,1,1,38
1,0,0,1,28,1,1,0,3
1,0,0,3,155,0,0,0,14
1,0,0,3,200,1,1,30,353
1,0,0,4,64,0,0,27,153
1,0,0,5,40,0,0,0,3
1,0,0,5,181,1,1,4,52
0,0,0,5,185,5,1,1,38
1,1,0,1,353,0,0,0,17
1,0,0,1,54,0,0,0,9
0,1,1,3,110,0,0,0,39
0,1,1,1,64,0,0,2,34
1,1,1,5,147,0,0,0,7
1,1,1,5,87,0,0,0,8
1,1,0,2,247,1,1,86,1191
1,0,0,1,265,1,1,0,3
0,1,1,5,25,0,0,0,27
1,0,0,5,31,0,0,1,38
1,0,0,1,46,5,1,1,11
1,0,0,4,127,1,1,3,142
1,0,0,4,135,3,1,74,492
1,1,0,5,281,2,1,1,35
0,1,1,5,24,1,1,1,22
1,1,1,4,205,0,0,4,31
1,1,0,2,331,12,3,27,306
0,1,1,5,95,0,0,2,74
1,1,0,4,434,0,0,0,7
0,1,0,2,543,0,0,5,178
1,0,0,3,45,0,0,0,2
1,0,0,3,104,0,0,2,37
1,0,0,4,60,0,0,0,21
1,1,1,5,48,1,1,1,29
0,1,0,1,248,0,0,0,4
0,1,1,2,182,0,0,0,50
0,0,0,5,221,1,1,65,560
1,0,0,2,46,1,1,0,46
0,1,1,5,29,0,0,1,68
1,0,0,5,230,2,1,14,531
1,0,0,1,62,0,0,0,2
1,0,0,5,106,0,0,0,7
1,0,0,4,103,0,0,0,7
1,0,0,3,253,1,1,9,134
0,1,1,5,23,0,0,0,15
1,0,0,3,65,0,0,0,35
0,1,0,4,375,1,1,0,7
0,0,0,5,212,4,1,28,334
1,0,0,1,154,1,1,0,21
1,0,0,1,30,0,0,1,36
1,0,0,4,138,0,0,0,10
1,1,1,4,144,1,1,0,19
0,1,1,3,78,2,1,3,79
1,0,0,4,45,0,0,1,82
1,1,0,5,394,2,1,1,22
1,0,0,3,40,0,0,1,12
1,0,0,3,57,0,0,0,22
1,0,0,5,65,0,0,2,102
1,1,1,5,147,0,0,16,269
1,0,0,3,53,1,1,1,38
1,0,0,4,69,0,0,26,463
1,0,0,3,193,0,0,1,38
0,1,1,3,25,0,0,0,38
1,1,0,5,545,0,0,78,418
0,1,1,5,40,0,0,50,537
1,0,0,5,69,0,0,0,7
0,1,1,2,123,2,1,19,334
1,0,0,5,105,0,0,2,48
1,0,0,5,244,3,1,13,65
0,1,1,1,108,0,0,3,24
0,1,1,5,84,0,0,13,378
0,1,1,5,16,0,0,0,16
0,1,0,5,568,1,1,3,67
0,1,1,2,89,0,0,2,27
1,0,0,5,76,0,0,6,12
0,0,0,4,152,4,1,12,49
1,1,1,5,138,0,0,1,58
1,0,0,3,147,0,0,0,56
1,0,0,5,16,0,0,0,7
1,0,0,1,55,1,1,1,64
1,0,0,5,17,0,0,0,24
0,1,1,3,79,1,1,11,267
1,0,0,4,213,7,2,29,249
1,1,0,5,328,6,2,42,170
0,1,1,5,119,5,1,188,1079
1,1,1,4,123,1,1,4,95
1,0,0,4,42,0,0,0,12
1,0,0,5,33,0,0,0,13
1,0,0,4,90,0,0,1,20
0,1,1,5,20,0,0,0,7
1,0,0,5,33,0,0,0,42
1,0,0,5,46,0,0,0,3
1,0,0,5,88,0,0,9,94
0,1,1,4,120,0,0,33,535
1,0,0,5,54,0,0,11,146
1,1,1,5,90,0,0,1,20
0,1,1,4,91,7,2,37,191
1,0,0,4,159,0,0,16,219
1,0,0,4,133,1,1,0,46
1,1,0,5,176,1,1,15,126
1,0,0,4,136,0,0,5,183
0,1,1,5,30,0,0,0,9
0,1,1,3,97,0,0,0,18
1,1,1,4,51,0,0,3,34
0,1,1,5,106,0,0,0,35
1,0,0,4,96,0,0,5,139
1,1,1,2,249,6,2,40,332
1,0,0,4,48,0,0,0,15
1,0,0,3,285,1,1,0,96
1,0,0,1,54,0,0,1,27
0,0,0,3,254,0,0,0,14
1,0,0,1,76,0,0,6,83
0,1,1,5,90,0,0,0,37
1,1,1,4,59,0,0,0,2
1,0,0,4,137,2,1,39,748
0,1,1,5,40,0,0,15,235
0,1,1,5,47,0,0,1,103
1,0,0,5,32,0,0,4,154
1,0,0,3,114,0,0,94,283
0,1,1,4,63,0,0,12,210
1,1,1,4,103,0,0,0,57
1,0,0,2,184,3,1,0,15
1,0,0,5,59,0,0,0,10
1,0,0,1,50,0,0,12,596
0,1,1,4,95,0,0,0,31
1,0,0,1,49,0,0,0,15
0,0,0,5,213,2,1,2,68
1,0,0,5,65,0,0,24,345
0,0,0,4,130,1,1,15,164
1,1,0,2,321,2,1,31,202
1,0,0,5,201,2,1,14,220
0,1,0,5,569,10,2,32,264
0,1,1,1,18,0,0,0,88
1,0,0,1,296,0,0,1,13
0,1,0,4,303,0,0,20,245
1,0,0,5,89,0,0,16,76
0,1,0,5,382,1,1,9,303
1,0,0,4,93,1,1,0,28
1,1,0,4,487,4,1,5,137
0,1,1,5,38,0,0,1,5
1,0,0,5,69,0,0,3,124
1,0,0,5,39,1,1,4,38
1,0,0,3,49,0,0,0,27
0,0,0,3,202,11,3,182,500
1,0,0,5,20,0,0,2,61
0,1,1,4,41,0,0,0,11
1,0,0,3,21,0,0,0,4
1,1,1,5,101,1,1,2,40
1,1,1,5,172,0,0,0,31
1,0,0,5,63,0,0,4,23
1,0,0,1,210,4,1,0,1
1,1,0,1,822,2,1,3,51
1,0,0,4,73,0,0,1,32
0,1,0,5,521,1,1,3,23
1,0,0,5,15,0,0,26,326
1,0,0,5,246,0,0,3,33
0,1,0,5,347,5,1,46,1141
1,0,0,4,30,0,0,1,145
1,1,0,3,274,1,1,6,66
0,1,0,5,336,2,1,37,258
0,1,1,5,18,0,0,0,5
1,0,0,5,178,2,1,13,113
1,1,1,3,220,6,2,171,1465
0,1,1,5,47,0,0,4,109
0,1,1,1,41,1,1,0,4
0,1,1,2,62,0,0,0,17
0,1,1,4,59,0,0,0,7
1,1,1,5,126,0,0,0,30
1,0,0,5,42,0,0,0,21
1,1,0,3,610,1,1,0,18
1,0,0,4,51,0,0,0,12
1,0,0,3,32,0,0,1,68
1,1,1,5,146,0,0,5,199
1,1,1,1,166,2,1,28,549
1,0,0,3,79,0,0,0,10
1,0,0,3,94,0,0,48,743
1,0,0,5,80,0,0,14,155
1,0,0,5,67,0,0,0,2
1,0,0,5,48,0,0,7,77
1,0,0,5,27,0,0,0,2
1,0,0,5,77,0,0,1,45
1,0,0,5,207,1,1,5,172
1,1,0,5,626,1,1,24,641
1,0,0,4,175,0,0,18,113
1,0,0,4,74,0,0,0,5
0,1,1,5,32,0,0,0,42
1,0,0,4,75,1,1,4,244
1,0,0,5,164,0,0,4,86
0,1,1,4,84,0,0,0,4
1,0,0,5,145,2,1,19,117
1,0,0,5,68,1,1,14,278
1,1,1,1,163,1,1,0,19
0,1,1,1,173,1,1,0,1
1,0,0,3,89,1,1,12,187
1,1,1,5,61,0,0,0,23
1,0,0,5,78,0,0,6,223
1,1,1,4,153,18,3,111,488
0,1,0,1,500,2,1,0,9
1,0,0,4,74,0,0,0,10
0,1,1,5,50,0,0,1,43
1,1,1,3,30,0,0,0,5
1,1,0,4,582,6,2,246,876
1,0,0,4,122,2,1,10,330
1,0,0,4,69,2,1,33,380
1,1,0,2,865,3,1,35,204
0,1,1,1,28,1,1,0,1
1,0,0,2,47,0,0,0,6
1,0,0,3,183,1,1,8,88
1,0,0,2,118,0,0,4,57
1,1,0,1,423,0,0,0,1
1,0,0,3,82,0,0,3,54
0,1,1,2,45,0,0,0,4
1,0,0,4,179,0,0,0,15
0,0,0,5,211,0,0,27,361
0,1,1,5,37,0,0,0,22
0,0,0,1,142,8,2,57,442
1,0,0,5,45,1,1,1,17
0,1,1,5,101,0,0,0,89
1,0,0,3,187,0,0,1,52
0,1,0,3,452,0,0,3,103
1,0,0,5,28,0,0,0,40
1,0,0,4,49,0,0,0,11
0,0,0,5,229,1,1,12,232
1,1,1,4,31,0,0,0,18
0,0,0,4,150,0,0,0,36
1,0,0,5,48,0,0,0,29
1,0,0,5,24,0,0,0,39
0,0,0,2,286,0,0,0,33
1,1,0,4,304,1,1,12,155
1,0,0,5,52,0,0,2,18
1,0,0,5,252,0,0,19,444
1,1,0,4,389,6,2,26,174
0,1,1,4,68,0,0,0,96
1,0,0,4,82,0,0,10,281
1,0,0,1,38,0,0,0,1
0,1,1,1,61,0,0,0,1
1,1,0,3,378,0,0,0,26
0,1,1,5,125,1,1,2,35
1,0,0,3,82,0,0,0,39
1,0,0,5,19,0,0,0,19
1,0,0,4,11,0,0,2,31
0,1,1,3,88,0,0,60,276
1,1,1,4,210,0,0,4,22
0,0,0,5,146,2,1,14,349
0,1,1,5,86,0,0,1,99
0,1,0,3,937,2,1,0,15
1,1,1,5,112,0,0,1,62
1,0,0,1,67,0,0,0,4
1,1,0,3,366,4,1,100,876
1,0,0,5,221,2,1,2,62
1,0,0,1,37,0,0,0,21
0,1,1,4,121,0,0,13,526
0,1,0,3,568,0,0,4,178
1,1,1,1,236,0,0,1,16
1,1,0,5,370,0,0,7,128
1,0,0,4,28,1,1,0,30
1,0,0,4,22,0,0,0,30
0,1,0,5,427,4,1,7,138
0,1,1,5,134,2,1,1,25
1,0,0,4,83,1,1,2,15
1,0,0,3,27,1,1,26,210
1,0,0,4,55,0,0,0,23
1,0,0,4,31,2,1,4,94
1,0,0,5,151,2,1,0,27
1,0,0,2,40,1,1,4,153
0,1,1,5,72,0,0,0,13
1,1,0,5,891,4,1,4,108
1,0,0,5,55,0,0,5,242
1,1,1,2,82,0,0,0,84
1,0,0,4,79,0,0,1,27
1,0,0,4,76,0,0,13,220
1,0,0,5,131,1,1,27,166
1,0,0,4,83,0,0,0,10
1,0,0,1,250,6,2,5,93
0,1,0,3,325,5,1,59,190
0,1,1,5,118,0,0,1,55
0,1,0,4,347,3,1,23,385
0,1,1,4,83,0,0,3,93
1,0,0,4,95,0,0,0,29
1,0,0,3,25,1,1,15,266
0,1,0,5,347,8,2,104,694
1,0,0,4,69,0,0,0,4
1,0,0,4,73,0,0,22,438
1,0,0,5,57,0,0,2,57
1,0,0,2,233,0,0,0,36
1,1,0,1,447,1,1,1,18
1,1,1,4,144,2,1,16,135
1,0,0,3,94,0,0,2,35
1,0,0,5,71,0,0,0,10
0,1,1,5,50,0,0,2,39
0,0,0,4,228,0,0,6,52
1,0,0,1,29,0,0,0,18
1,0,0,2,29,0,0,1,18
0,1,1,5,126,0,0,2,66
0,1,1,4,21,0,0,0,3
1,0,0,4,149,0,0,11,292
1,1,1,5,119,2,1,5,50
1,1,0,2,506,1,1,4,74
1,1,1,3,180,0,0,2,45
0,1,1,3,30,0,0,1,54
0,1,1,4,71,2,1,3,102
1,0,0,5,119,0,0,9,102
0,1,1,4,57,0,0,0,44
1,0,0,5,12,0,0,0,43
0,1,1,1,53,0,0,0,1
0,1,1,2,105,2,1,0,21
1,0,0,4,140,1,1,3,108
0,1,1,4,152,0,0,0,21
1,1,1,4,169,3,1,16,207
0,1,1,4,93,1,1,10,262
1,0,0,5,249,3,1,0,16
0,1,1,1,130,1,1,0,31
0,1,0,2,290,0,0,0,7
1,0,0,5,243,1,1,9,104
1,1,1,3,121,0,0,1,61
1,0,0,5,19,0,0,0,1
1,0,0,4,54,0,0,2,66
0,0,0,5,287,0,0,3,214
1,1,1,3,87,0,0,0,132
1,0,0,4,185,5,1,68,412
1,0,0,4,106,0,0,3,52
1,0,0,3,26,0,0,0,11
1,1,1,4,83,0,0,0,37
1,1,1,5,103,0,0,0,11
0,1,1,5,62,0,0,0,33
1,0,0,3,136,0,0,0,11
0,0,0,4,175,4,1,43,321
0,0,0,4,173,1,1,9,187
1,0,0,2,135,3,1,0,14
0,1,0,4,313,1,1,5,38
1,0,0,5,194,6,2,102,352
1,0,0,4,23,0,0,1,88
0,1,1,2,56,0,0,0,25
0,1,1,5,21,0,0,1,19
1,0,0,1,53,0,0,0,4
1,0,0,3,102,2,1,26,168
1,0,0,3,42,1,1,1,31
1,0,0,5,148,2,1,0,18
1,0,0,4,50,0,0,21,915
1,0,0,4,9,0,0,0,17
0,1,1,5,30,0,0,0,6
0,1,1,1,40,0,0,0,12
1,0,0,5,95,0,0,0,74
0,1,1,1,91,1,1,0,8
0,0,0,2,235,0,0,1,16
1,0,0,5,175,3,1,61,726
0,0,0,2,234,1,1,19,147
1,0,0,4,89,0,0,1,17
1,1,0,3,780,6,2,75,510
1,0,0,5,14,0,0,2,62
1,0,0,5,122,0,0,5,182
1,0,0,1,20,1,1,0,2
1,1,0,4,200,1,1,11,427
1,0,0,3,199,0,0,0,59
1,0,0,4,142,0,0,2,85
0,1,0,3,240,3,1,223,1583
1,0,0,4,167,0,0,6,129
0,1,1,5,28,1,1,1,10
1,1,1,4,94,0,0,0,13
0,1,1,3,53,0,0,0,70
1,0,0,5,34,0,0,0,36
1,0,0,4,116,1,1,1,51
1,1,0,4,290,0,0,8,106
0,0,0,4,212,1,1,50,1267
1,0,0,5,245,2,1,31,366
1,0,0,3,36,1,1,29,157
1,0,0,1,53,0,0,0,18
1,0,0,5,63,0,0,7,391
1,0,0,4,149,1,1,26,238
1,0,0,5,131,0,0,4,121
1,0,0,1,32,1,1,3,55
0,1,1,5,30,1,1,30,222
1,1,0,3,342,2,1,68,601
1,0,0,5,65,1,1,8,522
1,1,1,5,89,0,0,0,40
0,1,1,3,54,0,0,0,35
0,1,1,5,79,0,0,0,78
0,1,1,1,20,0,0,0,3
0,0,0,4,174,0,0,0,57
1,1,1,5,86,0,0,0,13
0,0,0,5,274,0,0,3,83
1,0,0,5,28,0,0,4,212
1,1,1,5,108,5,1,7,24
0,0,0,4,223,0,0,7,137
1,0,0,2,31,0,0,0,10
1,0,0,5,25,0,0,0,30
0,1,0,5,289,0,0,5,22
1,1,0,3,341,0,0,8,133
1,0,0,2,111,0,0,0,42
0,1,1,5,50,0,0,0,31
0,1,1,4,66,0,0,1,64
1,0,0,2,24,0,0,0,10
1,1,0,3,508,1,1,33,537
1,0,0,2,67,0,0,1,41
1,0,0,4,54,0,0,19,228
1,1,0,3,257,1,1,18,668
1,1,1,4,74,0,0,19,186
1,1,0,5,266,5,1,71,983
0,1,1,5,61,0,0,0,25
0,1,1,5,21,0,0,0,14
1,1,1,1,35,1,1,5,87
0,1,1,4,23,0,0,0,11
1,0,0,4,23,1,1,1,3
1,0,0,5,37,0,0,1,19
1,0,0,4,32,0,0,3,85
0,1,1,2,102,0,0,0,8
1,1,1,2,93,0,0,0,3
1,0,0,4,108,0,0,2,104
1,0,0,3,168,1,1,7,277
1,0,0,4,87,1,1,0,94
0,0,0,5,196,4,1,8,47
1,0,0,4,18,0,0,0,10
1,0,0,4,53,0,0,3,111
0,1,1,4,118,0,0,33,372
1,0,0,2,43,0,0,0,20
0,1,1,4,53,0,0,0,15
1,0,0,5,25,0,0,1,62
1,1,0,3,765,2,1,7,72
0,0,0,2,248,0,0,0,3
1,0,0,4,27,0,0,0,12
1,1,1,4,112,1,1,1,19
0,0,0,4,250,0,0,1,51
0,0,0,4,172,1,1,0,35
1,0,0,4,257,0,0,47,354
1,0,0,5,52,1,1,2,47
0,0,0,3,210,2,1,1,44
1,0,0,1,104,1,1,0,4
1,0,0,5,27,0,0,0,2
1,0,0,2,130,1,1,0,30
1,1,0,3,313,3,1,119,454
1,0,0,5,40,0,0,0,24
0,1,1,3,70,0,0,5,300
0,1,1,1,121,1,1,1,18
1,1,1,2,66,0,0,0,32
1,0,0,5,106,0,0,0,43
1,1,0,5,507,3,1,13,118
0,1,0,2,521,1,1,2,22
1,0,0,5,118,1,1,5,144
1,0,0,3,56,0,0,0,11
0,1,1,3,34,0,0,0,44
1,0,0,2,113,3,1,3,80
0,1,1,2,85,0,0,1,23
1,0,0,5,35,0,0,0,32
1,0,0,2,43,0,0,1,16
1,0,0,3,41,0,0,1,45
1,0,0,1,20,0,0,0,3
0,1,1,4,25,0,0,0,11
1,0,0,5,50,0,0,0,46
1,0,0,1,378,7,2,5,56
1,0,0,3,154,2,1,38,441
1,1,1,5,197,5,1,58,785
0,1,1,5,47,1,1,0,31
1,0,0,5,77,0,0,3,32
1,0,0,1,132,2,1,0,32
1,0,0,5,68,0,0,15,122
0,0,0,4,216,3,1,25,111
1,0,0,5,103,1,1,1,46
0,1,1,5,89,0,0,4,49
0,0,0,5,213,1,1,68,269
1,1,1,4,83,0,0,2,86
1,0,0,5,85,0,0,7,85
1,0,0,5,32,1,1,1,84
1,1,1,5,98,0,0,4,427
1,0,0,4,146,0,0,0,84
0,1,1,4,126,1,1,27,154
0,1,1,4,67,0,0,0,13
1,0,0,3,143,0,0,43,601
1,0,0,3,190,0,0,1,433
1,0,0,5,68,1,1,0,29
1,0,0,5,52,0,0,3,76
1,0,0,3,14,0,0,0,10
1,0,0,2,109,0,0,4,111
1,1,0,4,300,5,1,3,19
1,1,0,5,445,2,1,12,27
1,0,0,3,153,0,0,3,122
0,0,0,2,217,4,1,0,37
1,0,0,5,44,0,0,3,59
0,1,1,5,50,0,0,12,60
1,0,0,5,148,0,0,2,31
0,1,1,5,31,0,0,0,32
1,0,0,5,45,1,1,0,19
1,0,0,5,45,0,0,1,91
1,0,0,3,267,0,0,2,135
0,1,1,1,20,0,0,5,107
1,1,1,5,102,5,1,92,967
1,0,0,2,66,0,0,0,5
1,0,0,5,79,1,1,3,34
1,0,0,1,28,1,1,17,79
0,1,1,5,79,0,0,2,97
1,1,0,4,609,3,1,5,82
1,0,0,1,51,1,1,5,22
1,1,1,5,173,1,1,32,422
1,1,0,3,274,0,0,0,8
1,1,1,5,131,0,0,2,114
1,1,0,2,290,1,1,21,446
1,1,1,4,87,1,1,9,442
1,0,0,4,130,5,1,5,95
1,0,0,5,63,0,0,0,15
1,1,1,4,17,1,1,15,116
1,0,0,5,101,2,1,1,15
0,0,0,1,235,2,1,0,18
1,0,0,1,19,0,0,0,1
1,0,0,3,174,0,0,0,66
1,0,0,5,182,1,1,2,64
0,1,1,1,79,0,0,0,17
1,0,0,1,77,1,1,0,5
1,0,0,5,211,2,1,139,1131
1,0,0,5,183,1,1,5,190
0,1,1,3,81,0,0,54,421
1,0,0,5,116,0,0,0,6
0,0,0,5,131,1,1,40,282
1,1,0,2,419,1,1,1,20
1,0,0,5,184,3,1,9,100
1,0,0,5,200,0,0,24,154
1,0,0,5,79,0,0,0,33
1,0,0,5,34,0,0,1,122
0,0,0,4,242,3,1,80,2043
1,1,1,5,77,1,1,0,11
1,0,0,3,86,0,0,0,27
1,0,0,5,15,0,0,0,9
0,0,0,3,218,0,0,0,60
1,0,0,2,40,2,1,8,42
0,1,0,2,407,2,1,9,389
0,1,1,5,53,0,0,0,13
1,0,0,2,348,1,1,7,123
1,0,0,5,50,0,0,16,426
1,1,0,2,339,1,1,0,11
1,0,0,4,214,2,1,14,221
1,0,0,2,155,0,0,3,132
0,1,1,5,20,1,1,0,7
1,0,0,3,265,0,0,1,8
0,1,1,3,151,0,0,0,108
1,0,0,5,22,0,0,2,135
1,0,0,4,25,0,0,0,4
1,0,0,5,36,0,0,0,6
1,0,0,1,23,0,0,0,3
1,0,0,4,87,1,1,1,147
0,1,1,5,56,0,0,0,16
1,1,0,5,237,0,0,12,143
0,1,1,5,17,0,0,1,56
1,0,0,1,245,0,0,0,31
0,0,0,4,145,1,1,7,123
1,0,0,4,35,0,0,0,35
0,1,0,4,239,0,0,26,191
1,0,0,2,127,3,1,1,20
1,0,0,3,26,0,0,0,17
1,0,0,5,37,0,0,4,73
1,0,0,5,38,1,1,0,15
0,1,1,5,31,2,1,29,223
1,0,0,1,151,0,0,0,15
1,0,0,5,64,2,1,12,489
1,0,0,5,152,3,1,12,161
1,0,0,5,150,3,1,14,91
1,0,0,5,219,95,3,25,311
1,1,1,4,45,0,0,9,556
1,0,0,1,77,0,0,0,21
1,1,0,4,196,3,1,23,546
0,1,1,5,106,0,0,0,2
1,0,0,5,130,0,0,4,67
0,1,0,3,373,9,2,149,1066
1,0,0,2,45,0,0,0,8
1,1,1,5,99,1,1,7,65
1,0,0,3,180,2,1,68,1239
0,0,0,1,290,0,0,1,14
1,1,0,5,447,2,1,3,127
1,1,0,2,826,1,1,5,83
1,0,0,5,58,3,1,3,14
0,1,1,1,105,1,1,0,20
1,1,1,5,90,0,0,32,369
1,1,1,5,66,0,0,0,5
1,0,0,2,110,0,0,1,31
0,1,1,5,31,3,1,1,43
1,0,0,1,78,0,0,0,41
0,1,1,3,100,0,0,0,26
1,0,0,4,44,0,0,1,38
1,0,0,3,96,1,1,2,12
1,1,1,1,238,1,1,3,30
1,0,0,5,27,0,0,6,128
1,0,0,5,134,0,0,3,92
1,0,0,5,241,1,1,3,13
0,1,1,5,17,0,0,1,22
1,1,0,5,247,0,0,14,215
0,1,0,5,370,4,1,38,873
1,0,0,5,15,0,0,8,96
1,0,0,5,200,3,1,134,733
1,0,0,5,56,0,0,1,17
1,0,0,4,270,3,1,9,83
1,0,0,1,28,1,1,0,41
1,1,1,4,175,0,0,1,112
1,0,0,5,38,0,0,30,357
1,1,0,1,478,2,1,0,15
1,1,1,5,17,0,0,0,21
1,0,0,3,104,0,0,0,66
1,0,0,4,48,0,0,0,11
1,0,0,5,201,3,1,1,97
0,1,1,5,127,1,1,2,68
1,0,0,5,114,0,0,19,301
1,0,0,5,44,3,1,1,13
1,0,0,4,54,0,0,0,118
1,0,0,1,31,0,0,1,6
0,1,1,3,17,0,0,0,9
0,1,1,4,64,0,0,2,53
1,0,0,4,118,0,0,1,94
1,0,0,3,106,0,0,1,133
1,0,0,4,55,0,0,0,32
1,0,0,3,236,0,0,1,53
1,1,1,5,42,0,0,0,11
1,0,0,5,191,8,2,72,511
1,1,0,5,369,1,1,1,30
1,1,1,1,155,0,0,0,22
1,0,0,3,23,0,0,0,10
1,0,0,5,109,0,0,28,289
1,0,0,5,37,0,0,0,8
0,1,0,3,266,9,2,90,1047
1,0,0,5,28,1,1,15,236
1,0,0,5,135,0,0,109,440
1,1,0,5,322,3,1,166,1426
0,0,0,2,125,0,0,0,19
1,1,1,1,120,0,0,0,38
0,1,1,4,103,9,2,20,431
1,1,1,5,212,1,1,19,126
1,1,1,3,191,0,0,22,265
1,1,0,4,658,0,0,0,10
0,1,1,2,29,0,0,10,192
1,0,0,5,118,0,0,18,601
1,0,0,5,43,0,0,4,138
1,0,0,3,75,0,0,1,35
1,0,0,4,228,0,0,0,9
0,0,0,3,156,0,0,12,130
0,0,0,4,187,4,1,198,1436
0,1,1,5,57,1,1,1,17
1,0,0,3,112,1,1,10,151
1,0,0,5,138,0,0,28,484
0,1,1,5,72,0,0,0,125
1,0,0,4,95,0,0,0,46
1,0,0,2,181,0,0,0,3
1,0,0,5,41,0,0,1,73
1,0,0,3,137,0,0,10,261
1,1,0,2,533,1,1,1,68
1,1,1,2,312,0,0,1,47
1,1,1,1,111,0,0,1,112
0,1,1,5,89,0,0,1,45
1,0,0,3,155,0,0,3,130
1,1,1,5,76,0,0,0,14
1,0,0,1,343,1,1,0,3
0,0,0,4,172,0,0,48,614
1,0,0,5,228,2,1,0,1
1,1,0,3,326,4,1,66,332
0,1,1,5,43,0,0,0,34
1,0,0,3,10,0,0,0,24
1,0,0,3,107,0,0,33,224
1,0,0,2,162,0,0,0,29
1,0,0,5,78,1,1,3,26
0,0,0,5,162,0,0,1,12
0,1,1,5,43,1,1,1,29
1,0,0,5,188,2,1,5,122
1,0,0,3,90,3,1,14,299
1,0,0,5,169,6,2,3,59
1,0,0,4,77,0,0,1,5
1,0,0,5,67,0,0,5,471
0,1,1,1,18,0,0,0,14
1,0,0,1,50,0,0,0,20
1,1,1,2,135,1,1,7,70
0,1,0,5,245,14,3,260,813
1,1,1,5,37,0,0,1,8
0,1,1,5,33,0,0,0,5
1,0,0,5,210,2,1,15,260
0,1,0,5,742,1,1,77,1085
1,1,0,5,252,2,1,23,189
0,0,0,4,171,0,0,23,195
0,1,1,3,97,1,1,0,16
1,1,1,4,224,4,1,20,132
